FID,count,lon,lat,LOCTYPE
0,3,-0.13793,51.513418,Cholera death(s)
1,2,-0.137883,51.513361,Cholera death(s)
2,1,-0.137853,51.513317,Cholera death(s)
3,1,-0.137812,51.513262,Cholera death(s)
4,4,-0.137767,51.513204,Cholera death(s)
5,2,-0.137537,51.513184,Cholera death(s)
6,2,-0.1382,51.513359,Cholera death(s)
7,2,-0.138045,51.513328,Cholera death(s)
8,3,-0.138276,51.513323,Cholera death(s)
9,2,-0.138223,51.513427,Cholera death(s)
10,2,-0.138337,51.513381,Cholera death(s)
11,1,-0.138563,51.513462,Cholera death(s)
12,3,-0.138426,51.513216,Cholera death(s)
13,1,-0.138378,51.513169,Cholera death(s)
14,4,-0.138337,51.513116,Cholera death(s)
15,1,-0.138645,51.51324,Cholera death(s)
16,1,-0.138698,51.513164,Cholera death(s)
17,1,-0.137924,51.513178,Cholera death(s)
18,4,-0.137865,51.513111,Cholera death(s)
19,3,-0.137811,51.513055,Cholera death(s)
20,2,-0.138762,51.513441,Cholera death(s)
21,1,-0.138799,51.513592,Cholera death(s)
22,2,-0.139045,51.513402,Cholera death(s)
23,2,-0.13897,51.51338,Cholera death(s)
24,2,-0.138863,51.513411,Cholera death(s)
25,1,-0.138752,51.513641,Cholera death(s)
26,1,-0.138808,51.513693,Cholera death(s)
27,3,-0.138856,51.513745,Cholera death(s)
28,1,-0.138887,51.513676,Cholera death(s)
29,1,-0.139239,51.51359,Cholera death(s)
30,1,-0.139321,51.513663,Cholera death(s)
31,1,-0.139316,51.513502,Cholera death(s)
32,2,-0.139616,51.513583,Cholera death(s)
33,2,-0.139719,51.513541,Cholera death(s)
34,1,-0.140074,51.513298,Cholera death(s)
35,1,-0.139094,51.513291,Cholera death(s)
36,1,-0.139697,51.513013,Cholera death(s)
37,1,-0.139327,51.512965,Cholera death(s)
38,2,-0.139317,51.512893,Cholera death(s)
39,8,-0.139187,51.512964,Cholera death(s)
40,2,-0.139036,51.513025,Cholera death(s)
41,1,-0.139209,51.513027,Cholera death(s)
42,1,-0.138427,51.512831,Cholera death(s)
43,1,-0.138624,51.512885,Cholera death(s)
44,1,-0.138096,51.512526,Cholera death(s)
45,1,-0.138035,51.512465,Cholera death(s)
46,4,-0.137984,51.512428,Cholera death(s)
47,1,-0.138065,51.512415,Cholera death(s)
