OBJECTID,id,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,AL,1,185180,12.85972222,0,15294,15294,26.3465277,132.7994154,4878850,1423,0,406,1
2,AK,2,4002110,277.9243056,0,7840,7840,0.174090917,10.8430171,696731,688,0,153,0
3,AZ,3,416870,28.94930556,0,19826,19826,15.88523041,151.207095,6622076,2152,0,335,0
4,AR,4,195405,13.56979167,0,12569,12569,15.01538855,102.3983078,2934082,1234,0,238,0
5,CA,5,597879,41.519375,0,26304,26304,64.17525285,389.6433152,38369036,4409,0,1922,0
6,CO,6,403474,28.01902778,0,25693,25693,13.34316957,142.0462372,5383622,1936,0,327,0
7,CT,7,19991,1.388263889,0,9567,9567,178.5558501,423.4422744,3569510,1544,0,278,38
8,DE,8,7469,0.518680556,0,10753,10753,124.3045923,364.4111333,928431,869,0,165,15
9,FL,9,195434,13.57180556,0,18055,18055,100.0658893,363.6833009,19556277,2834,0,1106,0
10,GA,10,210560,14.62222222,0,32547,32547,48.10398461,211.5853762,10128775,1867,0,848,1
11,HI,11,18072,1.255,0,6577,6577,43.99679062,267.6463207,795110,740,0,99,0
12,ID,12,351834,24.43291667,0,8126,8126,4.764727116,64.87660932,1676393,1111,0,214,0
13,IL,13,222159,15.42770833,0,82959,82959,58.29733659,403.2662869,12951278,2669,0,976,1
14,IN,14,141682,9.839027778,0,14416,14416,46.97260061,210.0556942,6655172,1713,0,525,3
15,IA,15,228306,15.85458333,0,12488,12488,14.01265845,114.1751318,3199174,1376,0,334,0
16,KS,16,316572,21.98416667,0,10777,10777,9.071721441,90.88810703,2871853,1412,0,177,0
17,KY,17,153683,10.67243056,0,35780,35780,29.2980681,187.2544423,4502615,1529,0,429,2
18,LA,18,161082,11.18625,0,12844,12844,29.09623049,170.3253011,4686879,1660,0,525,0
19,ME,19,139131,9.661875,0,6731,6731,9.59564008,77.96378121,1335051,831,0,212,0
20,MD,20,38624,2.682222222,0,19706,19706,153.8465462,486.3860013,5942169,2074,0,243,10
21,MA,21,32056,2.226111111,0,41236,41236,211.1993699,714.2128089,6770207,2059,0,401,30
22,MI,22,242167,16.81715278,0,21828,21828,41.39668493,196.3099646,10024911,1954,0,736,0
23,MN,23,367554,25.52458333,0,29705,29705,15.23068991,142.9042042,5598101,1707,0,612,0
24,MS,24,171081,11.880625,0,7694,7694,17.44117114,99.94263136,2983853,1193,0,386,0
25,MO,25,268289,18.63118056,0,11820,11820,22.81945961,151.6902049,6122210,1709,0,612,0
26,MT,26,649370,45.09513889,0,6394,6394,1.615411861,32.61565469,1049000,828,0,213,0
27,NE,27,311832,21.655,0,11784,11784,6.11382411,85.32073168,1906486,1219,0,133,0
28,NV,28,431180,29.94305556,0,19873,19873,6.823259428,114.9287256,2942053,1627,0,127,0
29,NH,29,38530,2.675694444,0,11010,11010,34.06537763,164.0829809,1312539,884,0,238,0
30,NJ,30,29771,2.067430556,0,16772,16772,297.3404656,720.2388737,8852123,2406,0,678,36
31,NM,31,444917,30.89701389,0,9972,9972,4.639618176,68.97167931,2064245,1285,0,244,0
32,NY,32,200284,13.90861111,0,134956,134956,94.62890196,941.2788576,18952655,3094,0,735,4
33,NC,33,183159,12.719375,0,18531,18531,54.32635033,196.6531445,9950360,1722,0,842,5
34,ND,34,314644,21.85027778,0,5386,5386,2.385378396,43.6376813,750545,731,0,130,0
35,OH,35,162893,11.31201389,0,21679,21679,71.1176355,271.8001673,11584565,2071,0,882,5
36,OK,36,259137,17.995625,0,11175,11175,14.94694698,114.2012921,3873307,1510,0,317,0
37,OR,37,405199,28.13881944,0,18383,18383,10.09744101,116.1047207,4091473,1692,0,240,0
38,PA,38,180027,12.501875,0,57406,57406,71.85812684,371.8164253,12936403,2457,0,713,4
39,RI,39,4073,0.282847222,0,14208,14208,235.5069973,652.9686549,959220,845,0,110,37
40,SC,40,112654,7.823194444,0,12592,12592,43.18033092,172.8143955,4864437,1415,0,517,2
41,SD,41,324609,22.54229167,0,4440,4440,2.706030948,42.52868797,878402,794,0,112,0
42,TN,42,156935,10.89826389,0,19141,19141,41.70910887,185.7356295,6545619,1610,0,565,3
43,TX,43,936257,65.01784722,0,33847,33847,28.91438569,208.1187118,27071296,3030,0,1470,0
44,UT,44,330711,22.96604167,0,10188,10188,9.038423276,107.8532628,2989106,1616,0,143,0
45,VT,45,40008,2.778333333,0,9731,9731,16.05368926,110.2810865,642276,591,0,145,2
46,VA,46,152188,10.56861111,0,18966,18966,50.99918522,248.3511974,7761464,2019,0,640,2
47,WA,47,298324,20.71694444,0,23988,23988,23.19707432,175.5322555,6920244,1979,0,435,0
48,WV,48,94005,6.528125,0,9505,9505,20.21578639,118.7190394,1900385,1011,0,235,0
49,WI,49,236938,16.45402778,0,18236,18236,24.92925575,164.9659434,5906688,1716,0,497,0
50,WY,50,402561,27.955625,0,4273,4273,1.509301696,30.60273991,607586,681,0,120,0
